CODE;DESCRIPTION
"EV001623";"Signal amplifier"
"EV001624";"Signal converter"
"EV001625";"Mini constant"
"EV001626";"Control unit"
"EV001627";"Tracer dimmer/IR-controller"
"EV001628";"Coupling plug"
"EV001633";"Wall radiator"
"EV001634";"Free standing radiator"
"EV001635";"Lamp holder for in-wall installation cable"
"EV001636";"Small lamp holder"
"EV001640";"Ceiling-/wall emitter"
"EV001641";"GR10"
"EV001642";"GR8"
"EV001646";"Z-element"
"EV001648";"Blood pressure measurement"
"EV001649";"Blood pressure/pulse measurement"
"EV001650";"Upper arm"
"EV001651";"Wrist"
"EV001653";"Foot massage bath"
"EV001656";"Steam iron"
"EV001658";"Stick vacuum cleaner"
"EV001659";"Canister-cylinder cleaner"
"EV001661";"Solar operation"
"EV001663";"4 lines"
"EV001664";"8 digits"
"EV001665";"10 digits"
"EV001666";"Wall-/desk type model"
"EV001667";"Facial tanner"
"EV001668";"Upper body tanner"
"EV001669";"Total body tanner"
"EV001671";"Sun lamp"
"EV001672";"Handheld hair dryer"
"EV001673";"Travel hair dryer"
"EV001674";"Curl brush"
"EV001675";"Curl staff"
"EV001676";"Hair styler"
"EV001677";"Drying hood"
"EV001679";"Desk type device"
"EV001684";"Mechanical/electronic"
"EV001691";"Low weight flat-iron"
"EV001692";"Travel iron"
"EV001693";"Steam brush"
"EV001694";"Steam generator"
"EV001696";"Aluminium sole"
"EV001697";"Ceramic sole"
"EV001699";"Stainless steel sole"
"EV001704";"Dry shaver"
"EV001705";"Wet-/dry shaver"
"EV001706";"Accumulator/mains"
"EV001707";"Dry lady-shave"
"EV001708";"Wet-/dry lady-shave"
"EV001709";"Razor foil"
"EV001710";"Double razor foil"
"EV001711";"2 razor heads"
"EV001712";"3 razor heads"
"EV001714";"Manicure set"
"EV001715";"Pedicure set"
"EV001719";"Haircutter"
"EV001720";"Beard trimmer"
"EV001721";"Beard styler"
"EV001722";"Nose hair trimmer"
"EV001730";"Infrared proximity switch"
"EV001731";"Time switch"
"EV001732";"Thermal under blanket"
"EV001733";"Thermal over blanket"
"EV001734";"Electric pad"
"EV001735";"Heated carpet"
"EV001736";"Foot warmer"
"EV001741";"With DIN rails (top hat rails)"
"EV001744";"Toothbrush + mouth shower"
"EV001745";"Children toothbrush"
"EV001746";"Toothbrush"
"EV001747";"Mouth shower"
"EV001752";"Textile"
"EV001753";"Coated"
"EV001754";"Back-/neck thermal pillow"
"EV001755";"Surface mounted/partially recessed mounted"
"EV001761";"28"
"EV001762";"25"
